user_id,variant,region,device,session_minutes,purchased
173,control,Northeast,mobile,4.238,1
174,treatment,Mountain,desktop,4.422,0
175,treatment,South,mobile,4.327,0
176,control,West,mobile,4.867,0
177,control,Northeast,mobile,2.133,0
178,treatment,South,desktop,18.201,0
179,control,Northeast,desktop,7.279,0
180,control,West,mobile,15.434,0
181,treatment,West,mobile,6.157,1
182,treatment,Northeast,mobile,6.491,0
183,treatment,Midwest,mobile,2.285,0
184,control,South,desktop,1.164,0
185,treatment,Northeast,desktop,5.044,0
186,treatment,West,mobile,5.861,0
187,treatment,West,mobile,11.3,0
188,treatment,Midwest,desktop,12.306,0
189,control,Northeast,mobile,3.158,0
190,treatment,South,mobile,5.119,0
191,control,Mountain,mobile,6.587,0
192,control,West,desktop,6.034,1
193,treatment,Northeast,mobile,3.916,0
194,treatment,Mountain,desktop,5.675,0
195,control,Midwest,mobile,6.675,0
196,control,South,mobile,3.993,0
197,control,Midwest,mobile,0.633,0
198,treatment,Midwest,mobile,4.182,0
199,treatment,West,mobile,4.596,0
200,control,South,desktop,6.021,0
201,treatment,South,mobile,7.065,0
202,treatment,South,mobile,11.203,0
203,treatment,West,desktop,4.922,1
204,control,Mountain,mobile,7.594,0
205,treatment,West,mobile,1.594,0
206,treatment,Northeast,desktop,1.283,0
207,treatment,West,desktop,18.014,0
208,control,Mountain,mobile,6.228,0
209,control,West,mobile,5.043,1
210,treatment,Mountain,mobile,3.183,0
211,control,Midwest,desktop,3.985,0
212,treatment,Midwest,mobile,2.174,0
213,control,West,mobile,3.362,0
214,treatment,South,mobile,7.468,0
215,treatment,South,mobile,1.87,0
216,treatment,South,desktop,4.272,0
217,treatment,West,mobile,5.445,1
218,treatment,Northeast,mobile,4.991,0
219,treatment,South,desktop,5.413,0
220,control,South,mobile,2.2,0
221,control,Midwest,desktop,2.198,0
222,control,Mountain,mobile,0.931,0
223,treatment,Northeast,desktop,10.568,0
224,treatment,Northeast,mobile,8.552,0
225,treatment,Mountain,mobile,3.149,0
226,control,South,desktop,5.694,0
227,treatment,West,mobile,5.035,0
228,control,West,desktop,4.271,0
229,treatment,West,mobile,4.417,0
230,control,Northeast,desktop,5.217,0
231,control,Northeast,mobile,5.066,0
232,treatment,West,desktop,3.79,1
233,control,Northeast,desktop,3.23,0
234,control,West,mobile,7.308,0
235,treatment,West,mobile,5.099,0
236,control,Northeast,mobile,9.87,0
237,treatment,West,desktop,3.472,0
238,treatment,South,desktop,6.025,0
239,treatment,Northeast,mobile,15.868,0
240,control,Northeast,mobile,3.393,0
241,treatment,West,mobile,4.997,0
242,treatment,West,desktop,1.333,0
243,treatment,Northeast,mobile,10.964,0
244,control,Midwest,mobile,7.141,0
245,control,Midwest,mobile,6.311,0
246,control,Midwest,mobile,6.478,0
247,control,Mountain,mobile,5.044,0
248,treatment,Midwest,mobile,4.525,0
249,treatment,Northeast,mobile,3.363,0
250,treatment,Midwest,mobile,6.762,0
251,control,West,mobile,3.066,0
252,control,Northeast,desktop,16.044,0
253,control,Midwest,mobile,1.861,0
254,treatment,South,mobile,1.322,0
255,control,Northeast,mobile,9.41,0
256,treatment,West,desktop,4.628,0
257,treatment,West,desktop,1.21,0
258,treatment,Midwest,desktop,6.923,0
259,control,South,mobile,6.009,0
260,control,Midwest,desktop,1.761,0
261,control,South,mobile,3.477,0
262,control,Mountain,desktop,8.349,0
263,treatment,Northeast,desktop,3.851,0
264,treatment,Northeast,mobile,9.073,0
265,treatment,West,desktop,10.873,0
266,treatment,Midwest,mobile,3.998,0
267,treatment,Midwest,mobile,2.461,0
268,treatment,Midwest,mobile,0.96,0
269,control,West,desktop,10.277,1
270,control,West,mobile,7.565,0
271,control,Midwest,desktop,1.374,0
272,treatment,Mountain,mobile,9.009,0
273,treatment,South,mobile,5.451,1
274,treatment,Mountain,mobile,2.335,0
275,control,Northeast,desktop,6.143,0
276,control,Midwest,mobile,4.057,0
277,control,South,mobile,1.401,0
278,treatment,Northeast,desktop,1.305,0
279,treatment,South,mobile,8.722,0
280,treatment,South,desktop,3.76,0
281,treatment,Midwest,mobile,3.294,0
282,control,West,mobile,6.996,0
283,treatment,West,mobile,7.002,0
284,control,South,desktop,6.853,0
285,control,Northeast,desktop,4.08,0
286,treatment,Northeast,mobile,5.728,0
287,control,Mountain,mobile,7.6,0
288,control,Midwest,mobile,2.283,0
289,treatment,West,mobile,4.036,0
290,treatment,Mountain,desktop,5.902,0
291,control,Mountain,mobile,4.424,0
292,treatment,South,mobile,3.878,1
293,control,South,mobile,9.331,0
294,treatment,West,desktop,2.432,0
295,treatment,West,desktop,7.284,0
296,treatment,Mountain,mobile,3.964,0
297,treatment,South,mobile,2.313,0
298,treatment,Midwest,desktop,1.215,0
299,control,West,desktop,2.828,0
300,control,South,desktop,1.452,0
301,control,Midwest,desktop,5.311,1
302,control,South,mobile,2.923,0
303,control,South,desktop,9.427,0
304,treatment,Mountain,mobile,0.928,0
305,treatment,Northeast,mobile,6.237,0
306,treatment,Northeast,mobile,1.149,1
307,treatment,South,mobile,6.66,0
308,treatment,Midwest,desktop,6.234,0
309,treatment,Mountain,mobile,8.758,0
310,control,South,desktop,7.995,0
311,control,Northeast,mobile,8.596,0
312,control,South,mobile,5.294,0
313,treatment,Northeast,desktop,0.836,0
314,treatment,Northeast,mobile,8.351,0
315,treatment,Midwest,mobile,9.62,0
316,treatment,Midwest,desktop,1.962,0
317,treatment,Midwest,desktop,5.265,0
318,control,West,mobile,2.741,0
319,treatment,Northeast,desktop,6.097,0
320,control,Midwest,desktop,4.419,0
321,control,Midwest,mobile,7.377,0
322,treatment,West,desktop,2.848,0
323,control,Northeast,mobile,6.582,0
324,control,Mountain,desktop,3.994,0
325,control,Midwest,mobile,4.595,0
326,control,South,desktop,3.769,0
327,treatment,Midwest,desktop,4.441,0
328,control,West,desktop,7.092,0
329,treatment,West,mobile,1.468,0
330,control,South,desktop,8.232,0
331,control,South,desktop,0.816,0
332,treatment,South,mobile,0.378,0
333,control,West,mobile,4.625,0
334,treatment,Mountain,desktop,3.372,0
335,control,Midwest,desktop,1.377,0
336,control,Mountain,desktop,5.617,0
337,control,West,mobile,5.693,0
338,control,Midwest,mobile,6.993,0
339,treatment,West,desktop,8.584,0
340,control,South,mobile,2.853,1
341,control,West,mobile,8.078,0
342,control,Mountain,mobile,3.476,0
343,control,West,mobile,5.428,0
344,treatment,West,desktop,3.052,0
345,control,Midwest,desktop,2.442,0
346,control,South,mobile,1.04,0
347,control,Northeast,mobile,3.843,0
348,treatment,West,mobile,4.86,0
349,control,Midwest,desktop,4.96,0
350,treatment,Northeast,mobile,6.307,0
351,treatment,Northeast,desktop,8.716,1
352,treatment,West,desktop,3.842,0
353,control,Northeast,mobile,9.601,0
354,control,Northeast,mobile,0.676,0
355,control,West,desktop,12.845,0
356,treatment,Midwest,desktop,2.103,0
357,control,Midwest,mobile,4.482,1
358,control,Mountain,mobile,5.746,0
359,control,Midwest,desktop,2.869,1
360,treatment,South,mobile,4.917,0
361,treatment,Northeast,desktop,2.011,0
362,control,West,mobile,4.634,1
363,treatment,Midwest,desktop,7.115,0
364,treatment,West,mobile,1.397,0
365,treatment,Mountain,mobile,9.861,1
366,treatment,South,mobile,3.922,1
367,treatment,Northeast,desktop,2.499,0
368,treatment,Midwest,desktop,4.199,0
369,control,West,desktop,5.526,0
370,control,Northeast,desktop,6.308,0
371,treatment,West,mobile,1.961,1
372,control,Mountain,mobile,3.375,0
373,control,Midwest,mobile,10.796,0
374,treatment,Mountain,desktop,1.898,0
375,treatment,West,desktop,2.764,1
376,control,West,mobile,4.482,0
377,control,Midwest,mobile,1.758,1
378,control,Midwest,mobile,3.13,0
379,treatment,West,mobile,1.927,0
380,control,South,mobile,1.828,0
381,control,West,mobile,5.153,0
382,control,Mountain,desktop,5.16,0
383,treatment,South,mobile,7.68,1
384,treatment,Northeast,mobile,2.523,0
385,control,South,mobile,7.821,0
386,control,Midwest,mobile,5.773,0
387,control,West,mobile,2.654,0
388,control,Midwest,desktop,3.179,0
389,control,South,mobile,0.946,0
390,treatment,Mountain,mobile,4.444,0
391,treatment,West,mobile,8.381,0
392,treatment,Northeast,mobile,2.946,0
393,treatment,Northeast,mobile,4.358,0
394,control,Mountain,desktop,2.548,0
395,control,West,desktop,2.586,0
396,control,Midwest,mobile,4.873,1
397,treatment,South,desktop,7.838,0
398,treatment,Midwest,desktop,5.548,0
399,treatment,West,mobile,6.914,0
400,control,Mountain,mobile,5.167,0
401,control,Northeast,mobile,4.46,0
402,control,Midwest,desktop,3.753,0
403,control,West,mobile,4.625,0
404,control,Northeast,desktop,0.368,0
405,treatment,Northeast,mobile,2.681,0
406,treatment,Midwest,mobile,17.653,0
407,control,West,mobile,8.621,0
408,control,West,desktop,6.223,0
409,treatment,West,desktop,3.366,0
410,control,Northeast,desktop,1.866,1
411,treatment,Northeast,desktop,0.758,0
412,treatment,West,mobile,2.797,0
413,treatment,South,desktop,2.694,1
414,control,West,desktop,8.973,0
415,control,Northeast,mobile,3.307,0
416,control,Northeast,mobile,10.504,0
417,control,South,desktop,5.38,1
418,control,Midwest,mobile,2.072,0
419,treatment,Northeast,desktop,8.441,0
420,treatment,South,desktop,1.76,0
421,control,West,mobile,8.133,0
422,treatment,South,mobile,11.23,0
423,control,Northeast,mobile,13.641,0
424,control,Midwest,mobile,6.478,0
425,treatment,South,mobile,13.589,0
426,treatment,Mountain,mobile,3.055,0
427,treatment,South,desktop,5.362,0
428,control,South,mobile,5.029,0
429,control,Mountain,mobile,1.209,0
430,control,Mountain,mobile,3.794,0
431,treatment,Midwest,mobile,7.725,0
432,control,South,desktop,12.759,0
433,control,West,mobile,2.515,0
434,treatment,South,desktop,2.197,0
435,treatment,Mountain,mobile,3.76,0
436,control,Midwest,mobile,3.631,0
437,control,Mountain,mobile,1.767,0
438,control,Mountain,desktop,3.561,0
439,control,Midwest,mobile,5.826,0
440,control,West,desktop,4.634,0
441,treatment,Mountain,mobile,1.176,0
442,control,Northeast,mobile,6.501,0
443,treatment,South,desktop,7.295,0
444,treatment,West,desktop,8.453,0
445,treatment,West,mobile,14.672,0
446,control,South,desktop,4.802,0
447,treatment,Mountain,mobile,8.813,0
448,treatment,Midwest,mobile,2.853,0
449,control,West,mobile,3.015,0
450,treatment,Northeast,desktop,8.016,1
451,treatment,West,desktop,4.827,0
452,control,Northeast,mobile,9.771,0
453,treatment,Northeast,desktop,3.664,0
454,control,West,mobile,7.818,0
455,treatment,South,desktop,13.027,1
456,treatment,Midwest,mobile,6.896,0
457,control,Midwest,desktop,2.051,0
458,control,South,mobile,3.455,0
459,treatment,South,desktop,6.171,0
460,control,Mountain,mobile,3.395,1
461,treatment,South,desktop,3.539,1
462,treatment,South,mobile,1.062,0
463,treatment,South,desktop,9.81,0
464,control,Northeast,mobile,9.306,0
465,control,West,desktop,3.451,0
466,control,West,mobile,1.93,0
467,treatment,South,desktop,9.492,0
468,control,South,desktop,1.579,1
469,treatment,South,desktop,4.133,1
470,control,South,mobile,7.708,0
471,control,Northeast,desktop,2.437,0
472,treatment,Northeast,desktop,6.472,0
473,treatment,Northeast,mobile,4.208,0
474,treatment,Mountain,mobile,2.202,0
475,treatment,Northeast,mobile,1.189,0
476,treatment,Northeast,desktop,3.035,0
477,control,West,mobile,1.603,0
478,control,West,mobile,0.946,0
479,control,Northeast,mobile,7.107,0
480,treatment,South,desktop,0.1,0
481,control,West,mobile,7.74,0
482,control,Midwest,desktop,1.631,0
483,treatment,Northeast,desktop,1.471,1
484,control,Mountain,desktop,4.06,0
485,control,Mountain,desktop,2.347,0
486,treatment,West,mobile,7.454,0
487,control,West,desktop,4.094,0
488,treatment,Northeast,mobile,6.815,0
489,control,Midwest,mobile,5.481,0
490,control,South,mobile,1.978,0
491,control,Midwest,mobile,5.498,0
492,control,Northeast,mobile,4.481,0
493,treatment,Northeast,mobile,6.106,0
494,treatment,Midwest,desktop,2.921,0
495,control,Northeast,desktop,4.027,0
496,treatment,West,mobile,3.145,0
497,treatment,West,desktop,5.188,0
498,control,Northeast,mobile,6.525,0
499,treatment,South,mobile,4.352,0
500,control,West,mobile,0.466,0
501,control,South,mobile,7.701,0
502,control,West,mobile,2.369,0
503,control,Midwest,mobile,1.409,0
504,control,Mountain,desktop,6.85,1
505,treatment,West,mobile,1.245,0
506,control,Midwest,mobile,8.522,1
507,control,West,desktop,8.59,0
508,control,West,desktop,6.901,1
509,control,Midwest,mobile,3.111,0
510,control,Northeast,desktop,19.629,0
511,control,Midwest,mobile,17.058,0
512,treatment,Mountain,mobile,5.888,0
513,control,West,mobile,1.57,0
514,control,Midwest,desktop,11.328,0
515,control,West,mobile,1.292,0
516,control,South,mobile,11.519,0
517,treatment,South,mobile,4.082,0
518,treatment,Northeast,desktop,8.276,0
519,control,Midwest,mobile,4.836,0
520,control,Midwest,desktop,3.728,0
521,treatment,Midwest,desktop,10.843,0
522,treatment,South,mobile,4.028,0
523,treatment,West,mobile,2.375,0
524,control,Northeast,desktop,8.295,1
525,treatment,Northeast,mobile,8.046,0
526,treatment,West,desktop,2.82,0
527,control,Northeast,desktop,1.462,0
528,treatment,South,desktop,2.583,0
529,control,South,mobile,2.859,0
530,control,Midwest,mobile,5.438,0
531,treatment,South,mobile,5.572,0
532,control,Mountain,mobile,0.156,0
533,treatment,South,mobile,3.758,1
534,treatment,Mountain,desktop,2.681,0
535,treatment,Mountain,desktop,2.137,0
536,treatment,Mountain,mobile,9.633,0
537,control,Northeast,mobile,2.119,0
538,control,South,mobile,9.913,0
539,control,Mountain,mobile,2.168,0
540,control,West,mobile,4.671,0
541,control,Northeast,mobile,4.037,1
542,treatment,West,desktop,4.694,0
543,control,Mountain,mobile,15.977,0
544,treatment,West,mobile,6.21,0
545,treatment,Midwest,mobile,1.778,0
546,control,Midwest,mobile,3.893,0
547,control,West,desktop,9.031,0
548,treatment,South,mobile,6.155,0
549,control,West,mobile,5.702,0
550,control,Midwest,desktop,18.81,0
551,control,Mountain,desktop,12.486,0
552,treatment,Mountain,mobile,5.888,0
553,control,South,mobile,2.026,0
554,treatment,West,desktop,1.524,0
555,control,Northeast,mobile,0.979,0
556,control,West,desktop,5.457,0
557,control,Midwest,mobile,12.77,0
558,treatment,South,desktop,5.32,0
559,treatment,South,desktop,4.993,0
560,treatment,West,mobile,3.345,0
561,control,West,mobile,18.781,0
562,control,West,desktop,7.395,0
563,control,Northeast,mobile,9.201,0
564,control,West,mobile,3.203,0
565,control,Midwest,mobile,4.817,0
566,treatment,Northeast,mobile,4.04,0
567,control,Midwest,mobile,10.3,0
568,treatment,Mountain,mobile,4.563,0
569,treatment,Midwest,mobile,2.757,1
570,treatment,Northeast,mobile,0.833,0
571,control,Northeast,desktop,6.93,0
572,treatment,Northeast,mobile,6.839,0
573,control,Mountain,mobile,2.316,0
574,treatment,Midwest,mobile,4.518,0
575,control,Midwest,mobile,3.418,0
576,treatment,Midwest,mobile,2.556,0
577,treatment,West,desktop,0.64,0
578,treatment,Northeast,mobile,3.237,1
579,control,South,mobile,3.934,0
580,control,South,mobile,13.613,0
581,control,Midwest,mobile,7.89,0
582,treatment,South,mobile,10.074,0
583,control,Northeast,mobile,5.073,0
584,treatment,Northeast,mobile,11.401,0
585,treatment,West,mobile,4.141,0
586,treatment,South,mobile,5.29,0
587,control,Mountain,mobile,7.573,0
588,treatment,Northeast,mobile,8.905,0
589,treatment,West,mobile,10.068,1
590,treatment,Northeast,mobile,4.219,0
591,control,South,desktop,5.153,0
592,treatment,South,desktop,2.981,0
593,treatment,South,mobile,5.986,1
594,treatment,South,desktop,6.599,0
595,treatment,Midwest,mobile,2.695,0
596,treatment,South,desktop,5.698,0
597,control,South,mobile,5.135,0
598,control,Northeast,mobile,8.414,0
599,treatment,West,mobile,5.137,0
600,control,Midwest,mobile,3.582,0
601,control,Midwest,mobile,5.82,0
602,control,West,mobile,20.441,0
603,control,Midwest,mobile,13.693,1
604,treatment,West,mobile,4.658,0
605,control,Mountain,mobile,4.07,0
606,control,Northeast,mobile,4.388,0
607,control,Midwest,mobile,7.705,0
608,control,West,desktop,1.738,0
609,control,West,desktop,4.446,0
610,treatment,South,mobile,9.969,0
611,control,Northeast,desktop,10.259,0
612,treatment,South,mobile,4.656,0
613,control,Mountain,mobile,1.695,0
614,treatment,West,mobile,5.703,0
615,treatment,Northeast,mobile,10.81,0
616,treatment,Northeast,mobile,1.842,0
617,treatment,Midwest,mobile,4.156,1
618,treatment,South,mobile,11.141,0
619,control,West,desktop,7.036,0
620,control,Midwest,mobile,1.604,0
621,treatment,South,desktop,9.917,0
622,control,South,mobile,6.976,0
623,treatment,Mountain,mobile,1.97,0
624,control,Mountain,desktop,4.419,0
625,control,South,mobile,2.202,0
626,control,Midwest,desktop,3.377,0
627,treatment,Midwest,desktop,3.266,0
628,control,West,desktop,8.661,0
629,control,Mountain,mobile,11.325,0
630,treatment,Northeast,mobile,13.659,0
631,control,Mountain,desktop,3.205,0
632,control,Midwest,desktop,1.538,0
633,control,West,mobile,2.593,0
634,control,Northeast,mobile,10.218,0
635,treatment,Mountain,mobile,11.362,1
636,control,Northeast,mobile,5.5,0
637,control,Midwest,mobile,4.202,1
638,control,South,desktop,2.23,0
639,control,South,mobile,2.624,1
640,control,West,desktop,2.173,0
641,control,Midwest,desktop,4.92,0
642,control,Midwest,mobile,7.145,0
643,treatment,West,desktop,7.972,0
644,treatment,Midwest,desktop,6.628,0
645,treatment,Midwest,desktop,1.027,0
646,control,Midwest,mobile,7.632,0
647,control,West,mobile,2.763,0
648,treatment,South,mobile,7.669,0
649,control,Midwest,mobile,6.358,1
650,control,Mountain,mobile,6.355,0
651,control,West,mobile,6.643,0
652,treatment,Northeast,desktop,9.355,0
653,treatment,South,mobile,18.97,0
654,treatment,West,desktop,6.652,0
655,control,South,desktop,2.413,0
656,treatment,Midwest,desktop,2.098,0
657,control,West,mobile,2.843,0
658,control,South,desktop,9.059,0
659,treatment,South,mobile,2.449,0
660,treatment,South,mobile,11.005,0
661,control,Northeast,desktop,2.426,0
662,control,South,desktop,7.346,0
663,control,Northeast,desktop,2.288,0
664,treatment,Northeast,mobile,1.425,0
665,control,Midwest,mobile,2.454,0
666,control,Northeast,desktop,4.933,0
667,treatment,South,desktop,3.593,0
668,treatment,South,mobile,2.792,0
669,treatment,Midwest,mobile,1.929,0
670,treatment,Northeast,mobile,1.218,0
671,treatment,West,desktop,9.968,0
672,control,West,mobile,3.62,0
673,treatment,West,mobile,3.615,0
674,control,Midwest,mobile,8.977,0
675,treatment,West,mobile,11.201,0
676,control,Mountain,desktop,1.765,0
677,control,Northeast,mobile,6.313,0
678,control,South,mobile,1.225,0
679,treatment,Northeast,mobile,12.616,0
680,control,Mountain,mobile,6.653,0
681,control,Midwest,mobile,2.982,0
682,control,Mountain,mobile,4.196,0
683,control,West,mobile,3.903,0
684,treatment,Midwest,mobile,3.71,0
685,control,Midwest,mobile,3.354,0
686,treatment,West,mobile,2.739,0
687,control,West,desktop,8.852,0
688,treatment,Midwest,mobile,2.894,0
689,treatment,West,mobile,3.254,0
690,treatment,Northeast,mobile,4.925,0
691,control,West,desktop,5.863,0
692,control,South,desktop,9.025,0
693,treatment,Mountain,desktop,8.561,0
694,treatment,Mountain,desktop,6.474,0
695,treatment,South,mobile,21.771,0
696,control,Mountain,mobile,4.295,0
697,treatment,West,desktop,11.162,0
698,control,West,desktop,14.969,0
699,control,West,mobile,7.5,0
700,treatment,South,desktop,1.017,0
701,control,West,desktop,5.359,0
702,treatment,South,mobile,9.103,0
703,treatment,West,mobile,2.19,0
704,control,West,mobile,10.17,0
705,treatment,Mountain,desktop,6.889,0
706,control,West,desktop,6.135,0
707,control,Midwest,mobile,11.261,0
708,control,South,desktop,9.5,0
709,treatment,West,desktop,2.31,0
710,treatment,Northeast,desktop,1.298,0
711,control,South,mobile,5.06,0
712,control,Midwest,mobile,2.114,0
713,control,Midwest,desktop,5.501,0
714,treatment,West,mobile,3.546,0
715,control,Northeast,mobile,4.087,0
716,treatment,Midwest,mobile,0.668,0
717,treatment,South,mobile,2.498,0
718,control,South,desktop,4.04,1
719,treatment,Midwest,mobile,5.122,0
720,treatment,Midwest,mobile,10.973,0
721,treatment,Midwest,desktop,7.087,0
722,control,West,desktop,4.221,1
723,treatment,Midwest,mobile,4.154,0
724,control,South,mobile,11.394,0
725,control,Midwest,desktop,0.931,0
726,treatment,Northeast,mobile,8.257,0
727,control,Midwest,desktop,1.028,0
728,treatment,West,mobile,10.906,0
729,treatment,Mountain,mobile,3.348,0
730,treatment,Mountain,desktop,4.715,0
731,control,Northeast,desktop,8.869,0
732,control,South,desktop,3.372,1
733,treatment,Midwest,mobile,1.663,0
734,control,Northeast,mobile,4.643,0
735,treatment,Mountain,mobile,4.844,0
736,treatment,West,desktop,7.475,0
737,treatment,Mountain,desktop,9.001,0
738,treatment,Northeast,mobile,2.851,0
739,treatment,Northeast,mobile,2.741,0
740,treatment,Midwest,mobile,4.215,0
741,control,West,mobile,7.461,0
742,treatment,West,mobile,1.87,0
743,control,West,mobile,7.578,0
744,control,West,mobile,3.481,0
745,control,Midwest,mobile,4.004,0
746,treatment,South,mobile,1.005,0
747,control,West,mobile,7.864,0
748,control,West,mobile,1.821,0
749,control,Northeast,desktop,3.998,0
750,treatment,South,desktop,3.367,0
751,treatment,Northeast,mobile,5.479,1
752,control,Mountain,desktop,0.759,0
753,control,Mountain,mobile,9.587,0
