minutes,stops,packages,miles,downtown,rain,van_age_years,dispatcher_rating,month
391.6,56,125,85.3,0,0,4,4,4
245.8,35,98,49.3,0,0,5,1,6
247.3,41,88,37.9,0,0,4,2,1
201.4,25,66,28.1,0,0,4,3,4
257.6,42,135,36.0,0,0,6,1,12
184.9,26,69,35.1,0,0,5,4,10
192.6,31,61,30.6,0,0,6,1,9
377.3,61,194,58.5,1,1,3,1,1
205.1,23,45,34.1,0,0,8,4,11
210.9,39,93,41.6,0,1,3,5,1
192.3,33,76,41.8,1,0,1,4,1
444.8,74,185,90.7,0,0,4,5,11
186.6,25,55,45.3,0,0,2,3,5
143.0,14,26,28.9,0,1,6,2,3
404.0,60,200,40.5,0,0,8,5,12
213.0,27,53,54.9,0,0,6,5,9
114.2,18,42,23.4,0,0,8,2,6
355.5,67,96,50.1,0,0,4,1,5
312.9,55,146,58.9,0,1,1,2,5
300.1,37,113,50.1,1,0,6,2,7
164.2,23,76,27.0,0,0,8,3,4
374.6,59,224,85.4,0,0,6,2,10
238.0,34,108,37.6,1,0,6,4,2
275.2,37,100,56.0,1,0,4,4,7
341.0,63,167,49.9,0,0,7,4,9
227.9,35,115,42.6,0,0,8,3,12
263.0,44,111,37.5,1,0,5,4,3
432.8,67,177,89.4,0,0,4,3,5
146.7,28,55,32.5,0,0,5,5,9
205.9,29,80,32.6,0,0,7,1,3
285.5,44,155,44.9,0,0,1,4,11
214.8,44,110,33.3,1,0,4,1,10
148.6,21,59,40.7,0,1,2,3,5
293.2,45,58,64.3,0,0,5,1,1
510.1,68,217,101.8,0,0,2,2,12
100.8,10,29,11.2,0,0,4,2,12
184.3,26,84,31.0,0,0,8,2,2
125.7,14,40,31.5,1,0,6,4,1
350.4,61,133,79.9,0,1,2,3,3
127.9,23,41,39.0,0,0,6,4,11
345.8,46,125,71.1,0,0,3,1,6
23.3,8,20,12.2,0,0,2,3,10
242.2,34,74,46.2,1,1,6,4,11
374.7,53,133,59.3,0,1,7,5,9
408.5,63,139,86.9,0,0,2,1,5
275.3,46,132,51.3,1,0,5,5,12
179.4,27,59,32.1,1,0,3,1,1
218.0,30,65,47.1,0,0,5,5,9
167.4,26,65,34.6,1,0,7,4,12
236.0,36,78,42.5,1,1,2,5,1
469.6,68,216,73.7,0,1,7,5,6
73.4,10,26,20.3,0,0,2,5,10
368.3,62,120,75.0,0,0,6,1,4
243.2,34,90,49.7,0,0,7,4,4
101.3,8,15,31.4,0,0,5,1,1
411.8,64,172,72.6,0,1,6,1,9
167.6,20,52,30.4,0,0,2,4,1
134.4,10,23,24.0,1,0,5,1,11
447.5,73,185,51.8,0,0,4,2,5
359.7,51,121,70.3,0,0,3,2,10
195.6,32,58,24.7,0,0,3,1,4
328.9,54,119,63.1,1,0,1,5,10
214.8,39,95,22.8,1,0,6,3,2
165.7,22,33,29.6,0,0,7,2,10
95.5,12,24,25.3,0,0,4,3,8
144.8,27,65,28.2,0,0,1,1,12
124.4,16,37,15.5,1,0,2,3,5
130.0,20,56,25.2,0,0,8,5,11
233.4,37,80,50.2,0,0,6,4,6
248.6,45,118,52.1,0,0,3,1,9
79.5,9,24,10.5,1,0,4,5,5
241.7,32,101,35.2,0,0,1,2,11
397.7,65,149,68.0,0,1,1,1,6
92.2,16,32,22.1,0,0,2,1,6
357.0,62,112,72.2,1,0,7,4,8
217.1,27,74,38.2,1,0,4,4,11
360.8,61,188,38.7,0,0,3,1,12
165.1,24,52,28.7,0,0,3,5,11
339.5,54,144,82.5,1,0,2,3,1
448.6,74,208,66.3,0,0,7,4,10
262.4,42,118,47.8,0,0,2,3,11
306.9,48,109,66.2,0,1,6,5,6
473.3,67,184,84.6,0,0,6,1,12
251.9,40,99,56.6,0,0,7,2,7
353.4,58,119,78.4,1,0,1,5,9
281.6,40,103,64.4,1,0,6,4,12
221.4,39,111,44.9,0,0,2,5,1
283.2,46,96,74.1,0,0,3,2,5
399.6,69,190,74.2,0,0,7,5,5
472.9,73,245,75.7,0,0,6,5,9
175.4,24,47,48.9,1,0,4,4,3
198.9,33,97,47.3,1,0,4,2,6
96.1,11,33,18.2,1,0,2,2,3
65.1,11,25,15.1,0,0,6,2,10
383.6,67,182,76.6,1,0,2,5,6
157.5,20,46,41.2,0,1,6,5,8
309.2,42,126,49.9,0,0,8,5,8
21.0,8,12,8.5,1,1,7,2,1
408.7,67,164,67.6,1,0,2,1,6
200.0,21,33,41.9,1,0,1,5,4
470.7,73,195,72.1,0,0,8,4,1
362.1,48,130,73.6,0,0,4,2,1
175.8,15,30,34.3,0,0,7,3,7
190.7,25,54,30.7,1,0,8,2,10
308.1,41,111,33.7,1,1,7,4,2
429.2,64,145,67.5,1,0,6,5,10
116.4,14,25,30.6,0,0,7,1,3
370.7,71,94,74.9,1,0,3,2,11
314.9,40,103,46.6,0,0,1,4,11
161.1,16,54,16.7,0,0,4,4,4
289.1,47,104,49.1,0,0,8,4,11
389.1,62,166,69.3,1,0,2,5,5
159.8,28,78,29.5,0,0,8,5,12
310.8,52,120,41.3,0,0,4,5,6
183.7,20,48,54.0,0,1,7,1,7
426.4,74,184,65.8,0,0,8,5,11
305.1,52,108,45.9,1,0,1,5,9
187.7,20,67,39.9,0,0,6,1,10
158.3,17,61,25.7,0,1,2,2,10
367.6,59,161,49.1,0,0,4,2,9
271.4,42,134,59.3,0,0,5,5,5
247.9,30,63,37.4,1,0,6,4,9
435.7,66,157,79.2,0,1,5,3,4
165.8,21,62,27.3,0,0,3,4,9
349.2,58,110,60.5,0,0,7,5,4
165.0,25,50,40.6,0,0,4,2,6
424.6,71,181,52.6,0,0,2,2,4
441.6,70,108,100.7,1,0,6,4,7
321.5,43,139,54.8,1,1,4,3,2
305.6,40,111,42.4,0,1,5,3,1
298.7,42,112,42.6,1,0,8,4,10
259.1,37,102,52.8,1,0,3,4,7
145.4,24,55,22.6,1,0,4,5,8
411.4,66,136,76.0,0,0,7,4,4
96.2,9,30,27.1,0,0,1,5,3
434.4,65,191,79.0,0,1,8,3,11
296.7,45,114,62.9,0,0,2,4,8
374.4,68,167,54.9,1,0,4,2,12
418.8,62,143,80.0,1,0,2,5,7
108.9,9,26,27.3,0,1,2,2,10
103.1,13,23,29.5,0,0,2,5,3
453.6,74,154,77.2,1,0,1,3,7
215.2,29,59,55.9,0,1,1,5,10
304.5,53,97,55.6,1,0,8,4,3
93.3,23,45,25.2,0,0,2,5,1
424.8,68,134,76.1,1,1,5,5,9
168.1,15,45,31.8,0,0,7,2,4
430.1,61,201,75.8,1,0,4,2,7
240.3,33,82,48.4,0,1,8,1,9
422.3,68,117,100.8,0,0,8,5,12
296.6,44,100,66.3,1,0,3,1,1
417.0,67,166,91.5,1,0,6,1,11
274.9,30,72,39.9,0,1,2,5,5
310.2,51,127,35.5,1,0,5,4,2
228.4,30,83,45.2,1,0,5,1,8
134.8,16,24,24.5,0,0,7,1,10
429.8,59,128,83.1,0,0,3,4,1
340.9,53,142,81.0,1,1,1,2,7
345.6,55,154,42.7,0,0,8,5,2
79.5,10,25,17.3,1,0,1,3,12
430.0,70,173,75.9,1,0,2,4,9
228.6,31,73,47.7,1,0,1,2,1
279.0,46,100,41.0,1,1,5,3,7
212.1,26,67,41.1,1,1,7,5,7
93.6,12,30,20.6,0,0,1,2,2
245.9,27,60,37.1,0,0,6,2,3
111.7,13,42,20.1,1,0,6,5,9
355.6,62,187,52.1,1,0,8,4,4
293.7,48,109,38.0,1,0,6,5,2
442.6,67,187,83.3,0,0,3,4,5
415.3,69,204,77.9,0,0,2,1,1
450.0,68,182,63.6,1,0,1,4,11
221.7,36,94,22.9,1,0,1,1,1
363.2,49,136,75.3,0,0,2,4,2
359.6,58,100,71.6,0,0,4,5,9
385.0,59,109,67.4,0,0,6,5,12
298.0,42,116,63.0,0,0,2,3,12
117.4,16,39,29.2,0,0,4,4,3
374.8,54,166,78.8,0,1,1,2,3
226.7,31,71,44.8,1,0,7,2,5
100.9,11,34,20.5,0,0,6,1,1
369.4,60,178,55.8,0,0,8,5,8
148.8,12,44,28.3,1,0,8,4,8
257.8,38,89,45.5,0,1,1,4,4
411.4,67,160,60.5,1,1,4,1,10
265.3,41,108,61.4,0,1,6,2,4
416.9,71,187,66.6,1,0,6,4,3
359.6,60,129,58.6,0,0,6,4,12
324.7,46,105,57.9,0,1,6,3,12
174.6,22,44,31.8,0,0,3,3,2
131.0,16,58,30.8,1,1,3,4,3
459.9,66,163,108.8,1,0,8,1,1
433.3,67,173,82.6,0,0,1,2,9
347.8,57,127,41.2,0,1,6,4,6
350.0,52,132,70.0,0,0,1,5,12
98.3,13,31,20.8,0,0,7,4,3
384.0,61,151,77.1,1,1,1,1,7
232.4,36,93,41.4,1,0,3,3,6
411.1,59,206,79.8,0,0,6,4,11
431.4,69,200,78.6,0,0,4,3,5
199.4,19,48,43.6,0,0,2,2,3
227.3,26,55,40.1,0,0,2,1,1
140.2,22,57,18.2,0,0,4,2,1
81.3,8,15,19.6,0,0,3,3,6
392.1,69,184,73.2,0,0,5,5,12
174.3,19,44,28.3,0,0,3,4,5
250.7,36,85,35.4,1,0,3,5,3
292.3,44,103,47.4,0,0,6,1,10
231.9,38,78,47.6,0,0,4,5,12
109.7,14,38,13.5,0,1,4,2,1
197.8,28,100,26.9,0,1,8,1,6
95.4,11,24,16.3,0,0,3,5,6
402.9,69,123,64.9,0,0,7,2,12
159.8,17,53,22.1,0,0,3,5,9
400.6,66,165,73.4,0,0,5,1,4
415.4,63,213,76.8,1,0,7,1,9
482.3,70,191,88.0,0,0,7,1,5
433.2,72,209,94.0,0,1,8,5,11
353.3,57,118,68.2,0,0,8,5,2
117.4,17,35,31.6,0,0,7,3,4
