day_of_week,temp_f,exam_week,promo,foot_traffic,drinks_sold,revenue,sold_out
Thu,52.4,0,1,679,19,80.01,1
Wed,78.9,0,0,1310,16,66.71,0
Tue,50.4,0,0,1015,28,119.76,0
Mon,65.9,1,0,980,23,93.81,0
Tue,68.9,0,0,724,13,56.15,0
Mon,66.5,0,0,683,16,49.49,0
Thu,70.0,0,0,1069,18,55.42,0
Wed,47.0,0,1,805,18,87.96,0
Tue,81.3,0,0,906,20,118.67,0
Wed,73.7,0,0,986,20,85.12,1
Wed,46.8,0,0,776,25,104.19,1
Wed,66.1,0,0,952,20,99.12,0
Wed,40.8,0,0,487,18,58.6,0
Thu,59.5,0,0,684,18,55.75,0
Mon,39.3,0,1,471,37,162.09,1
Mon,69.5,1,1,925,25,129.41,0
Thu,100.0,0,1,801,5,27.71,0
Fri,81.5,1,0,1375,28,123.56,0
Wed,69.7,0,0,722,22,112.52,1
Wed,43.6,0,0,926,30,118.27,0
Thu,64.1,0,1,985,29,118.7,1
Mon,77.0,0,1,1200,13,48.47,0
Tue,56.6,1,0,1113,24,93.61,1
Tue,60.1,0,1,1056,20,80.28,0
Wed,30.9,0,0,1286,36,147.83,1
Thu,44.3,0,0,525,17,69.1,0
Wed,28.4,0,0,765,33,143.7,0
Fri,88.6,0,1,784,11,38.5,0
Wed,65.6,0,0,877,22,106.45,0
Mon,69.6,0,0,752,15,58.46,1
Thu,54.8,0,0,1126,19,66.1,0
Thu,34.6,0,0,755,26,94.4,0
Wed,60.8,0,0,748,17,65.46,1
Fri,47.8,0,0,967,18,72.13,1
Wed,42.5,0,0,728,35,150.03,1
Thu,58.9,0,0,660,17,71.98,0
Mon,59.8,1,0,724,26,130.14,1
Mon,55.1,0,0,861,16,60.68,0
Thu,45.6,0,0,1113,35,153.17,1
Fri,42.2,0,1,1039,30,125.58,1
Wed,58.1,0,0,988,23,103.06,0
Thu,77.6,0,0,915,17,61.87,1
Tue,32.3,0,1,767,34,151.54,1
Thu,47.5,0,0,868,18,62.57,0
Wed,55.4,0,1,620,18,101.07,0
Tue,55.5,0,1,923,25,85.15,0
Mon,48.5,0,0,1108,26,102.29,0
Mon,88.9,0,0,532,11,44.64,0
Fri,64.4,0,1,1153,22,109.38,0
Wed,42.2,0,1,414,26,128.63,0
Fri,27.9,0,0,693,25,91.82,0
Tue,55.2,0,0,652,20,97.4,0
Mon,81.7,1,1,850,19,68.36,0
Tue,61.1,0,0,810,23,117.22,0
Tue,20.9,0,0,1163,36,143.62,1
Thu,36.0,0,0,667,27,118.82,0
Thu,60.0,0,0,685,11,48.46,0
Thu,75.1,0,0,724,17,60.35,1
Tue,60.3,0,0,766,20,83.82,0
Tue,60.4,0,0,746,20,88.04,1
Wed,75.2,1,0,714,22,85.05,0
Thu,78.1,1,0,1062,21,99.27,0
Wed,47.2,0,0,857,18,73.02,0
Mon,65.0,0,1,1104,27,102.85,0
Thu,42.7,0,0,1157,33,149.56,1
Wed,40.8,0,1,544,30,116.09,1
Fri,67.4,0,0,1207,26,88.28,1
Fri,35.2,0,0,974,23,103.96,1
Fri,60.7,1,0,1260,31,127.89,0
Fri,63.0,0,0,841,17,71.78,0
Thu,71.8,0,1,1029,22,79.81,0
Tue,39.6,1,0,1130,39,191.1,1
Mon,64.1,0,0,1182,38,159.84,1
Mon,56.0,0,0,753,32,141.32,0
Fri,81.8,0,0,730,10,34.37,0
Tue,46.1,0,0,832,19,67.33,0
Mon,40.2,0,0,1185,34,140.1,1
Mon,66.0,0,0,1224,25,111.12,0
Tue,44.3,0,0,643,22,98.86,0
Fri,37.3,0,0,982,27,130.67,1
Tue,72.6,0,0,883,15,65.93,1
Mon,64.9,1,0,959,29,149.59,1
Thu,10.0,0,0,1009,29,107.18,1
Mon,43.3,0,0,1300,28,112.06,0
Wed,40.3,0,0,1022,23,83.75,0
Mon,68.3,0,0,792,14,60.09,0
Mon,81.6,0,0,755,16,55.22,0
Tue,90.9,0,0,1005,15,68.4,0
Mon,69.3,0,1,952,16,66.48,0
Fri,40.5,0,0,1119,29,123.42,1
Thu,39.9,0,0,1203,40,169.69,1
Fri,42.8,0,0,927,34,137.56,1
Wed,65.8,1,0,1151,31,152.33,0
Wed,78.2,0,1,1265,31,153.92,1
Thu,27.3,1,0,1303,41,190.99,1
Wed,67.7,1,0,820,26,119.34,0
Wed,72.8,0,0,584,16,73.22,0
Wed,63.1,0,0,598,23,88.6,0
Fri,100.0,0,1,487,14,48.37,0
Tue,66.6,0,0,984,24,92.06,1
Fri,58.5,0,0,598,12,55.71,0
Mon,67.8,0,1,1048,15,66.33,0
Mon,49.3,1,1,837,39,194.57,1
Tue,40.4,0,0,1108,39,145.39,0
Fri,64.8,0,0,1012,24,106.43,0
Tue,76.5,1,0,1052,27,138.57,1
Thu,54.2,0,0,996,26,93.88,0
Wed,72.8,0,0,613,16,77.1,0
Thu,52.0,0,0,353,23,102.57,1
Mon,84.1,0,1,773,17,71.06,0
Thu,61.4,1,1,1110,30,117.0,1
Mon,66.5,0,0,604,16,58.1,0
Wed,70.3,0,0,1035,19,88.91,0
Thu,36.4,0,0,1022,21,99.33,0
Fri,55.1,0,0,892,31,127.28,0
Fri,87.4,0,0,923,9,34.89,0
Tue,58.6,0,0,870,19,94.59,0
Thu,80.4,0,0,921,17,73.06,0
Wed,72.1,0,0,610,18,81.94,0
Thu,28.8,0,0,1121,30,133.69,0
Fri,69.3,0,0,940,13,32.51,0
Wed,40.6,0,0,1008,14,95.35,0
Mon,62.2,0,0,724,18,82.27,0
Thu,51.4,0,0,561,19,102.34,0
Thu,58.3,1,1,1280,51,221.47,1
Mon,56.9,0,1,564,18,56.0,0
Wed,61.9,0,1,815,31,136.05,1
Mon,50.8,0,1,864,23,76.66,0
Thu,36.4,0,0,943,30,117.13,1
Tue,41.8,0,0,960,19,78.49,1
Mon,72.7,1,1,1004,34,138.04,0
Tue,85.6,0,0,573,13,55.35,0
Thu,61.7,0,0,827,20,83.13,0
Wed,71.5,0,1,868,25,101.23,0
Fri,73.6,0,1,982,23,89.48,0
Tue,36.1,0,0,941,19,95.1,0
Thu,28.0,0,1,1138,43,179.32,1
Fri,57.2,0,0,1048,20,86.11,0
Tue,27.7,0,0,608,31,134.07,0
Mon,53.6,0,0,903,26,99.7,0
Thu,34.3,0,0,986,25,101.07,0
Thu,48.0,0,0,777,27,139.86,0
Tue,46.0,0,0,1221,28,109.03,1
Wed,66.3,0,0,768,14,77.61,0
Thu,47.6,0,0,604,29,99.64,0
Fri,39.6,0,0,473,18,77.6,0
Mon,58.8,0,0,786,26,102.0,0
Wed,100.0,0,0,787,8,36.81,0
Tue,65.9,0,0,807,15,70.33,1
Tue,26.9,1,1,523,30,142.01,0
Mon,59.5,1,0,1013,23,94.64,1
Wed,99.1,1,1,1264,28,113.73,0
Mon,60.7,1,0,870,27,128.4,0
Fri,78.5,1,1,1120,25,127.53,1
Wed,75.8,1,1,876,27,129.17,0
Wed,77.0,1,1,832,19,102.75,0
Tue,74.8,0,0,1190,19,71.06,0
Fri,62.5,0,1,1029,16,55.76,0
Wed,55.1,1,0,1211,29,126.05,1
Fri,53.5,0,1,1385,30,136.49,0
Thu,59.9,1,0,1018,29,126.78,0
Fri,64.8,1,1,990,26,104.29,0
Fri,37.6,0,0,905,20,93.05,0
Thu,53.5,0,0,1216,29,113.74,0
Tue,57.4,0,0,1108,24,91.34,1
Thu,59.7,1,0,824,20,74.68,1
Tue,53.0,0,0,719,22,97.56,0
Fri,70.9,1,0,1077,23,104.99,0
Tue,56.3,0,0,1011,28,127.68,1
Mon,52.0,1,1,1123,43,189.26,1
Mon,38.2,0,1,1021,42,176.96,1
Wed,45.6,1,0,978,38,185.41,0
Thu,61.7,0,0,1036,21,76.29,0
Tue,59.9,0,0,1042,19,101.67,0
Fri,25.4,1,0,798,34,155.52,1
Tue,72.8,0,0,623,7,27.39,0
Wed,46.8,0,0,952,26,114.73,1
Tue,43.6,1,1,930,40,183.62,1
Wed,75.8,0,0,583,16,63.0,0
Mon,76.6,0,0,1070,20,85.27,0
Fri,46.6,1,0,1088,22,108.67,0
Fri,52.3,1,0,1302,27,141.9,1
Thu,38.4,1,0,1008,33,163.16,0
Wed,71.0,0,1,917,16,83.14,0
Thu,72.5,0,0,582,13,64.2,0
Wed,51.0,0,0,1210,23,97.28,0
Fri,80.3,0,0,1011,23,84.39,0
Mon,72.7,0,0,1097,17,68.63,0
Tue,56.0,0,0,845,30,117.51,1
Wed,69.5,0,0,886,18,83.76,0
Thu,31.5,0,1,972,33,109.69,0
Thu,53.8,0,0,732,19,75.12,0
Thu,62.0,0,0,728,16,73.32,1
Fri,57.8,0,0,1313,26,112.89,1
Fri,90.8,0,0,949,15,67.35,0
Fri,63.0,0,0,721,20,87.89,0
Tue,63.9,0,0,585,18,59.17,0
Thu,36.8,0,0,639,22,108.14,0
Thu,55.0,0,1,970,27,122.97,0
Thu,45.5,0,1,687,21,102.67,0
Thu,95.6,0,0,659,17,74.2,0
Wed,51.3,0,0,851,27,108.52,0
Wed,59.9,0,0,976,21,98.21,0
Mon,77.5,0,0,1180,13,47.48,0
Mon,68.5,0,0,716,20,70.93,0
Mon,35.4,0,0,743,19,57.02,0
Tue,68.2,0,1,978,24,90.02,0
Tue,69.4,0,0,790,15,60.37,0
Fri,55.1,0,0,1056,34,123.45,1
Tue,65.4,0,1,794,19,58.78,1
Tue,59.7,0,0,604,25,96.8,1
Mon,35.8,0,0,739,28,128.34,0
Mon,49.0,0,1,554,20,79.41,0
Thu,58.3,1,0,899,31,142.78,1
Tue,48.6,0,1,1002,24,86.77,0
Thu,66.6,1,0,1027,26,118.76,0
Mon,74.0,0,1,870,23,101.91,0
Thu,62.4,0,0,614,19,63.28,1
Tue,52.0,1,0,848,23,97.48,0
Mon,79.8,0,0,810,15,57.84,0
Fri,60.2,1,0,1045,30,139.42,0
Tue,63.7,0,0,1452,23,88.23,1
Tue,45.8,0,0,744,19,58.48,0
Mon,54.5,0,0,1102,23,88.91,0
Wed,74.0,0,1,641,17,87.62,0
Tue,69.9,1,0,787,25,128.29,0
Tue,55.0,0,0,461,17,63.8,0
Thu,58.1,0,0,722,24,89.49,0
Thu,61.2,0,1,1124,25,92.06,0
Mon,42.9,0,0,889,31,123.81,1
Mon,55.0,0,0,1162,22,93.38,1
Tue,49.8,0,0,784,25,113.07,0
Thu,35.8,1,0,1248,34,173.22,0
Tue,60.4,0,0,771,13,51.65,0
Wed,55.7,0,0,1088,25,124.79,1
Mon,34.6,1,0,1373,43,206.43,1
Mon,45.3,0,0,843,35,142.26,1
Thu,56.6,0,0,596,16,49.59,0
Thu,11.7,1,0,1417,41,183.58,1
Fri,60.9,0,0,677,16,85.44,0
Wed,62.3,0,1,769,24,97.75,0
Tue,68.4,0,0,825,19,100.04,0
Wed,48.5,0,1,1094,25,90.97,1
Mon,35.2,0,0,1045,35,167.43,1
Tue,68.1,1,0,1157,25,107.01,0
Wed,36.0,0,1,833,22,80.59,1
Thu,66.7,0,0,851,21,81.31,0
Tue,47.2,0,0,1074,28,109.37,1
Tue,41.8,0,0,1260,31,110.14,1
Mon,62.7,0,0,619,16,56.03,0
Mon,76.0,0,0,1170,20,55.35,0
Wed,55.5,1,0,1227,26,131.86,0
Fri,54.1,0,0,1015,26,115.38,0
Wed,31.0,0,1,742,23,88.83,0
Mon,71.3,0,0,918,20,73.95,0
Wed,59.2,0,0,982,24,116.49,0
Mon,53.7,0,0,756,22,79.19,0
Thu,78.9,0,0,1157,11,56.92,0
Wed,32.9,0,1,795,29,136.47,0
Tue,49.9,0,1,1237,31,137.68,1
Tue,58.1,0,0,569,11,46.08,0
Mon,53.3,1,0,717,29,138.95,0
Tue,19.0,0,1,482,28,114.9,0
Wed,63.6,0,0,1056,16,80.06,0
Wed,57.5,0,1,700,21,79.7,0
Thu,74.2,0,0,718,14,80.83,0
Fri,90.6,0,0,1075,22,101.44,0
Mon,55.0,0,0,1281,29,119.02,1
Fri,64.2,1,0,828,19,100.02,1
Wed,62.0,0,1,1199,29,133.51,0
Mon,60.7,0,0,1017,19,75.44,0
Fri,55.8,0,0,870,21,74.52,0
Fri,64.2,0,1,610,26,93.14,1
Tue,76.1,1,1,707,27,113.58,1
Mon,44.4,0,0,912,26,105.45,0
Tue,88.4,1,1,1047,26,115.56,1
Fri,66.1,0,0,720,17,98.77,0
Fri,62.8,1,0,774,19,85.87,0
Tue,22.0,1,0,728,46,209.24,1
Wed,57.8,1,0,1096,24,101.71,0
Thu,42.4,0,1,1046,40,183.84,1
Mon,67.2,1,1,1176,30,118.84,1
Thu,73.3,0,0,1033,20,86.74,0
Tue,76.4,0,0,778,18,74.42,0
Fri,55.3,0,1,1225,28,115.58,0
Mon,56.8,0,0,676,16,67.69,0
Fri,65.0,0,0,998,26,101.94,0
Thu,24.4,0,0,809,26,95.9,0
Tue,51.1,0,0,652,23,108.64,0
Fri,49.3,0,0,730,27,129.07,1
Thu,66.3,0,0,1018,21,95.91,0
Wed,50.7,0,0,1137,31,144.48,0
Thu,69.9,0,0,969,18,77.6,0
Thu,54.9,1,0,372,25,86.33,1
Mon,71.7,0,1,1060,19,67.53,0
Tue,93.5,0,1,430,19,85.49,0
Thu,82.9,1,0,1442,24,80.9,0
Wed,73.2,0,1,946,24,102.04,0
Tue,76.3,1,1,1051,24,112.79,0
Wed,52.1,0,0,1119,22,95.64,0
Mon,45.7,0,0,836,27,100.06,1
Fri,44.5,0,0,817,18,71.23,0
Wed,61.1,0,0,814,17,67.3,0
Mon,81.6,0,0,927,17,74.1,0
Wed,46.3,0,0,917,30,122.09,1
Thu,65.5,1,0,1069,27,101.53,1
Wed,38.0,0,1,200,18,103.59,0
Wed,38.5,1,1,998,37,171.12,1
Thu,71.7,0,0,547,14,56.09,0
Mon,47.0,0,1,1499,34,135.51,0
Wed,46.6,0,0,1074,25,113.5,0
Wed,89.6,0,0,1104,16,69.65,0
Fri,59.1,0,0,978,19,84.73,0
Wed,57.3,0,0,1046,24,82.52,0
Mon,54.3,0,0,701,26,83.93,0
Fri,64.6,0,1,1047,29,136.96,0
Tue,46.7,0,0,1087,25,107.06,1
Fri,58.9,0,0,913,23,99.55,0
Tue,75.4,1,0,1189,23,118.12,0
Fri,52.9,0,0,1108,32,128.9,1
Thu,19.9,0,0,902,24,106.32,0
Thu,47.5,0,1,653,19,58.09,1
Thu,70.3,0,0,1080,14,57.69,0
Mon,75.9,0,0,1236,22,91.06,0
Tue,63.8,0,0,636,18,87.2,0
Fri,80.8,0,0,1132,13,49.28,0
Thu,41.4,1,0,1077,37,191.92,0
Wed,78.5,1,1,1156,30,105.08,0
Thu,61.4,0,0,1087,13,67.47,0
Thu,68.8,0,0,666,20,62.64,0
Thu,12.2,0,0,965,42,186.84,0
Wed,72.3,0,0,1125,21,97.4,1
Mon,61.7,1,0,1334,41,177.37,1
Wed,88.5,0,0,1093,15,58.4,0
Tue,61.0,0,0,695,19,76.49,0
Fri,42.4,0,0,921,19,89.02,1
Fri,45.1,0,0,821,22,85.84,0
Tue,64.5,1,1,1035,17,81.34,0
Fri,62.9,0,0,1121,17,72.39,1
Tue,47.9,0,0,593,21,95.81,0
Tue,40.9,0,0,1016,25,106.9,0
Tue,82.3,0,1,999,17,76.82,0
Wed,54.2,1,1,806,24,117.74,1
Tue,56.9,0,0,1149,26,117.29,1
Tue,49.5,0,0,771,18,83.71,0
Thu,80.4,0,1,910,24,98.48,1
Wed,75.8,0,0,329,15,62.1,0
Thu,41.7,0,0,1148,46,182.98,1
Mon,56.8,0,1,838,25,112.12,1
Mon,43.2,0,1,831,28,105.93,1
Tue,87.7,0,0,1223,22,89.51,0
Tue,65.1,0,0,473,17,70.37,0
Tue,53.5,0,0,1093,33,144.7,1
Tue,52.6,1,0,1254,36,168.79,1
Fri,66.7,0,1,435,26,117.24,1
Wed,54.1,0,0,959,32,136.23,1
Wed,82.7,0,0,816,11,30.44,0
Thu,43.2,0,0,668,22,86.5,1
Mon,38.2,0,0,615,29,123.35,1
Mon,80.6,0,1,1061,23,100.73,1
Wed,51.2,0,1,1160,34,133.11,1
Thu,80.7,1,0,772,18,74.72,0
Wed,72.1,1,0,811,21,94.2,0
Mon,36.3,0,0,1083,24,86.68,0
Thu,48.2,0,0,1437,28,115.08,1
Fri,58.8,0,0,530,22,105.47,1
Wed,54.5,0,1,576,30,110.86,1
Fri,62.8,0,1,633,26,92.75,1
Wed,48.2,0,0,662,18,87.74,0
Wed,56.6,0,0,1160,28,115.29,0
Tue,74.0,0,0,671,11,65.32,0
Wed,79.3,0,0,1402,23,80.52,0
Wed,45.4,1,1,1125,34,165.69,1
Mon,54.3,0,0,1130,21,91.34,0
Fri,56.0,0,0,1018,16,53.27,0
Mon,36.4,0,1,669,29,125.56,1
Wed,73.0,0,1,587,16,93.11,0
Tue,67.0,0,0,1114,20,94.17,0
Fri,66.3,1,0,1272,30,138.59,1
Thu,56.2,1,0,1119,30,131.86,0
Mon,71.9,0,0,903,12,35.36,0
Mon,73.4,1,0,1045,27,106.83,1
Tue,76.6,0,0,953,16,62.89,0
Fri,55.3,0,1,572,16,78.0,0
Fri,63.6,0,0,892,15,61.33,0
Wed,51.8,0,0,904,17,91.14,0
Wed,52.8,0,0,501,21,77.03,0
Thu,73.7,0,0,293,11,33.97,0
Wed,58.9,0,0,844,17,72.42,0
Wed,55.5,0,1,439,15,62.43,0
Tue,67.7,0,1,370,17,89.82,0
Wed,68.6,0,1,509,16,75.26,0
Tue,45.9,0,0,945,33,138.65,1
Thu,47.6,0,1,891,33,129.03,1
Thu,69.4,0,1,919,20,92.36,0
Thu,66.4,0,0,1286,21,117.06,0
Tue,54.6,1,0,1139,32,146.44,0
Tue,77.1,1,0,1372,19,71.79,0
Wed,56.4,0,0,944,27,94.61,0
Thu,27.1,0,1,1144,43,175.5,1
Thu,45.3,0,0,1258,28,119.96,1
Mon,34.4,0,0,1353,30,117.34,0
Fri,76.3,0,0,826,17,66.42,0
Fri,66.1,0,0,602,20,78.56,0
Fri,59.9,0,0,889,15,78.84,0
Tue,20.9,0,0,1209,45,172.91,1
Wed,34.4,0,0,1260,39,157.34,1
Wed,55.6,0,0,930,19,92.91,1
Mon,29.5,0,0,985,26,127.15,1
Tue,73.1,0,0,1263,20,77.32,0
Mon,56.4,0,0,941,23,94.67,1
Mon,55.7,0,0,1054,25,127.3,0
Wed,57.0,0,0,1112,29,137.1,0
Tue,42.8,0,1,850,17,62.47,0
Mon,41.3,0,0,706,21,77.19,1
Fri,27.6,0,0,1438,37,156.61,1
Mon,58.4,0,1,767,34,131.86,0
Tue,64.5,0,0,658,15,58.88,0
Tue,54.2,0,0,841,13,59.73,0
Wed,53.5,0,0,936,31,110.68,1
Fri,43.0,0,0,942,26,112.56,0
Mon,62.0,1,1,946,33,155.71,1
Mon,18.8,0,0,1014,40,164.92,1
Tue,40.3,0,0,1291,40,177.52,0
Mon,47.5,0,1,825,24,93.67,1
Mon,49.9,0,0,910,23,93.6,1
Fri,61.5,0,0,1194,26,88.13,1
Tue,54.9,0,1,670,23,61.71,0
Thu,60.5,0,1,628,22,79.66,1
Fri,77.9,0,1,716,14,58.45,0
Thu,80.0,0,0,874,18,75.86,1
Mon,68.4,0,0,1105,18,72.26,0
Tue,78.0,0,1,526,23,93.05,1
Mon,85.7,1,0,866,23,103.16,0
Fri,63.9,1,0,740,19,87.0,0
Wed,35.6,0,1,536,25,95.63,1
Fri,74.1,0,0,580,15,44.3,1
Wed,42.1,0,0,1071,31,136.97,0
Wed,87.8,0,0,923,10,26.55,0
Mon,85.6,1,1,1056,30,153.5,1
Fri,49.7,0,0,1016,23,83.65,0
Fri,40.4,0,0,975,16,62.95,0
Wed,47.0,0,0,998,31,140.46,0
Tue,57.0,0,0,1337,29,115.52,1
Wed,78.5,1,0,1174,32,130.56,0
Wed,38.2,0,0,275,24,98.01,0
Thu,72.1,0,1,1031,22,102.73,0
Tue,24.9,0,0,1122,33,137.39,1
Thu,77.4,0,1,1014,20,81.48,1
Fri,57.0,0,0,737,21,86.34,1
Tue,61.2,0,0,663,21,102.67,0
Thu,56.3,0,1,910,26,93.36,0
Wed,73.0,0,0,1056,15,66.2,0
Tue,63.9,1,1,1220,40,209.04,1
Mon,85.0,0,0,477,11,46.33,0
Fri,29.6,0,0,952,21,97.55,0
Fri,43.5,0,0,1169,30,116.66,0
Mon,36.5,1,0,1197,39,169.77,1
Wed,69.5,0,0,1486,22,92.83,0
Mon,31.0,0,0,740,18,74.31,0
Mon,96.9,1,1,741,15,56.58,0
Mon,59.5,0,0,1103,20,93.28,0
Fri,77.6,0,0,1221,27,107.1,0
Wed,42.5,1,0,788,30,144.19,1
Fri,61.1,0,1,886,33,136.55,1
Thu,68.0,0,1,955,16,83.51,0
Thu,46.7,0,0,997,17,69.31,0
Mon,54.4,0,0,1189,31,119.21,0
Wed,82.9,1,0,1559,34,167.23,1
Wed,78.3,0,1,769,27,96.18,0
Wed,67.3,0,0,829,12,46.06,1
Mon,89.5,1,0,676,13,55.61,0
Mon,26.9,0,0,1078,34,154.13,0
Thu,62.7,0,0,642,24,105.71,0
Mon,51.9,1,0,1049,35,160.26,1
Fri,80.8,0,0,981,11,65.6,0
Tue,75.8,0,0,1205,19,80.85,0
Fri,76.7,0,1,863,19,63.55,0
Wed,48.4,1,0,908,29,117.37,0
Wed,67.0,1,0,874,28,109.41,1
Thu,75.3,0,1,1125,21,87.12,0
Fri,78.8,0,0,796,20,82.37,1
Mon,43.2,0,1,913,37,157.96,1
Wed,47.1,0,1,1074,30,127.48,0
Mon,61.9,0,1,1197,22,93.7,0
Thu,80.3,0,0,1164,19,99.33,0
Thu,67.9,0,0,578,12,53.93,0
Mon,80.0,0,0,651,10,31.71,0
Fri,26.8,0,0,957,31,123.15,0
Fri,53.7,1,0,1126,37,160.88,1
Fri,66.0,0,0,938,19,78.14,0
Fri,62.3,0,0,1173,17,53.24,0
Thu,27.7,0,0,1252,33,149.93,1
Tue,75.6,0,0,883,19,64.09,1
Fri,63.5,0,1,916,31,134.66,1
Tue,50.5,0,0,1149,27,122.58,0
Wed,77.2,0,0,1099,17,79.05,1
Thu,30.3,0,0,671,32,135.23,1
Thu,49.8,0,0,604,19,79.76,0
Tue,72.1,1,0,617,25,132.34,0
Wed,64.0,0,0,896,20,92.46,1
Wed,54.4,1,0,884,29,115.0,0
Tue,55.5,0,0,744,21,94.76,0
Tue,54.3,1,1,668,23,90.8,1
Fri,71.9,0,0,861,14,68.12,1
Tue,53.1,0,1,554,21,96.93,1
Wed,68.8,0,1,631,34,172.52,1
Mon,24.6,1,0,936,32,146.38,1
Thu,77.7,0,1,1003,18,72.91,1
Fri,97.1,0,0,879,16,63.57,0
Wed,66.0,0,0,1053,19,86.77,0
Mon,56.6,1,1,1001,29,137.39,1
Mon,49.4,0,0,801,25,110.16,0
Tue,69.2,0,1,822,17,85.89,0
Mon,47.6,0,0,693,27,119.04,0
Tue,44.9,0,1,902,35,128.27,0
Wed,23.9,0,0,1162,52,211.0,1
Wed,61.9,0,0,1062,19,81.01,0
Thu,53.3,0,0,1058,26,114.24,0
Fri,54.2,0,0,955,21,73.95,0
Thu,58.0,0,0,947,14,72.4,0
Wed,46.7,0,0,918,21,83.42,0
Tue,61.0,1,0,774,18,92.9,1
Fri,40.7,0,1,619,25,114.81,1
Mon,56.2,0,1,683,21,80.2,0
Thu,53.5,0,0,1104,27,120.89,1
Wed,30.7,0,0,754,29,135.35,1
Wed,38.6,0,1,1036,32,135.39,1
Mon,48.5,0,0,640,25,112.46,0
Tue,49.0,0,0,833,28,103.06,1
Tue,62.1,0,1,677,18,61.35,0
Mon,51.5,0,1,1049,32,138.75,1
Wed,57.2,1,0,1454,32,122.77,0
Wed,51.5,0,1,619,27,105.39,0
Tue,16.6,0,0,960,39,161.5,1
Fri,56.0,0,1,686,25,112.59,1
Wed,44.5,0,0,1054,36,166.77,1
Mon,55.4,0,0,1270,28,128.81,1
Mon,45.7,0,0,779,18,60.14,0
Tue,68.5,0,0,1120,23,92.23,1
