hours,volume_cuft,crew_size,miles,stairs_flights,packing_service,weekend,est_boxes,dispatcher_rating,quote_source,truck_id
11.81,868,2,11.5,0,0,1,74,3,phone,T-4
10.43,706,3,14.4,2,0,0,55,5,phone,T-6
4.24,120,2,26.6,0,0,1,4,5,phone,T-5
15.44,1043,2,9.8,3,0,0,102,2,phone,T-3
11.53,928,4,9.7,1,0,0,64,2,phone,T-1
10.14,673,2,11.8,0,0,0,55,1,web,T-5
9.98,618,3,7.0,1,1,1,60,4,web,T-5
10.88,750,3,16.2,3,0,0,60,3,phone,T-1
8.33,417,3,7.9,2,0,0,49,2,phone,T-2
9.43,767,4,3.2,0,0,0,63,5,web,T-5
11.6,649,2,14.7,2,0,0,56,5,web,T-7
8.18,622,3,24.7,1,0,0,47,5,referral,T-2
5.07,497,3,7.9,1,0,0,44,5,referral,T-7
6.97,551,3,30.6,3,0,0,44,3,referral,T-6
15.31,943,2,8.7,1,0,0,81,4,phone,T-6
13.93,994,4,25.7,2,0,0,76,5,referral,T-1
12.56,811,2,39.2,1,1,0,58,1,web,T-1
8.46,690,3,4.3,1,0,0,59,4,phone,T-4
8.19,507,2,16.1,0,1,0,39,3,web,T-7
12.29,858,3,1.1,0,1,0,74,3,referral,T-5
16.45,1054,4,2.3,1,1,0,99,3,web,T-2
8.24,345,2,25.5,0,1,1,37,3,referral,T-2
11.58,958,4,10.0,0,0,0,82,4,referral,T-1
5.55,224,2,15.3,0,1,0,17,5,referral,T-7
9.62,625,4,6.6,1,0,0,52,5,phone,T-5
10.32,785,3,7.7,1,0,0,64,4,phone,T-5
5.96,400,2,1.2,1,0,1,33,5,web,T-2
6.63,366,3,19.3,1,0,0,20,1,phone,T-5
11.44,741,3,20.7,2,1,0,64,1,phone,T-5
11.94,893,4,23.0,1,0,0,80,3,referral,T-1
8.1,595,3,7.9,3,0,1,53,1,phone,T-1
13.04,996,3,11.2,1,0,0,81,4,referral,T-1
9.89,528,2,5.6,2,1,1,48,2,web,T-6
15.33,1086,3,3.2,0,1,0,83,2,web,T-1
9.63,726,3,16.4,1,0,1,62,4,referral,T-5
10.01,752,3,19.1,2,0,0,58,4,web,T-3
13.89,835,2,12.6,1,1,0,72,3,phone,T-4
11.34,771,4,5.3,4,1,0,58,5,phone,T-7
17.15,1106,3,28.1,3,0,1,97,5,web,T-4
16.58,1185,3,15.6,2,0,0,87,3,phone,T-7
11.67,820,2,4.3,1,0,0,59,3,web,T-4
10.15,664,2,11.8,0,0,0,63,5,web,T-4
7.89,441,2,14.9,2,0,0,46,3,referral,T-6
6.61,534,3,7.3,0,0,0,55,5,referral,T-6
10.67,702,2,8.4,1,0,1,57,1,referral,T-1
10.3,678,3,28.7,2,1,1,55,4,web,T-3
11.98,690,2,21.0,1,1,0,59,1,phone,T-7
11.62,701,2,21.3,1,0,0,48,3,referral,T-7
13.04,809,2,14.7,2,0,0,56,5,referral,T-2
6.41,403,2,7.5,0,0,0,30,1,referral,T-6
7.05,474,3,8.1,0,1,0,38,4,referral,T-4
14.28,947,3,5.5,0,1,0,83,5,web,T-1
11.24,884,4,6.3,1,0,0,62,1,referral,T-5
7.85,582,2,12.8,0,0,0,47,2,referral,T-5
13.86,985,2,2.2,1,0,0,76,4,phone,T-1
6.84,551,4,5.6,0,0,0,41,1,phone,T-6
8.92,645,4,5.0,0,1,0,57,1,web,T-3
6.04,298,3,27.4,0,0,0,34,5,referral,T-4
12.54,886,2,3.4,2,0,0,74,5,web,T-5
11.14,698,3,38.3,1,1,0,70,5,web,T-3
13.95,935,2,4.7,1,0,1,88,5,phone,T-6
11.34,856,2,9.7,0,0,0,76,3,web,T-5
13.31,722,2,1.7,2,1,0,57,5,referral,T-4
10.54,737,2,9.0,1,0,1,67,3,referral,T-3
14.32,964,3,8.9,0,0,1,82,4,referral,T-2
8.26,666,3,17.2,0,0,0,64,3,referral,T-4
8.78,669,2,8.9,1,0,0,60,2,web,T-1
11.18,718,2,16.2,2,0,0,64,2,referral,T-6
10.92,880,3,10.8,1,0,0,82,5,web,T-1
11.14,906,3,15.3,0,0,0,74,1,referral,T-2
15.48,1126,4,11.4,1,0,0,106,3,web,T-3
11.33,687,3,27.5,0,1,0,70,3,web,T-7
15.07,983,2,5.8,1,1,0,85,4,referral,T-5
10.48,562,2,13.1,0,1,0,56,1,referral,T-7
11.57,840,2,6.9,2,0,0,73,5,referral,T-6
9.89,735,2,6.5,1,0,0,60,2,web,T-1
16.73,1090,3,9.5,3,1,0,90,1,phone,T-3
11.64,843,2,6.2,1,0,1,77,1,referral,T-1
8.27,610,3,9.1,2,0,0,53,4,referral,T-4
12.67,837,2,6.6,1,0,0,62,1,phone,T-3
11.89,786,3,21.3,1,0,0,43,5,phone,T-1
7.82,640,3,7.1,0,0,0,59,5,referral,T-3
10.82,645,3,23.0,2,1,0,63,3,web,T-2
7.64,503,3,11.5,3,0,0,49,5,referral,T-4
19.2,1317,2,5.7,3,0,1,119,4,web,T-3
12.67,740,2,13.2,4,0,0,54,2,referral,T-4
12.52,925,2,7.7,1,0,0,82,2,referral,T-6
8.01,454,2,12.4,1,1,1,40,1,phone,T-7
7.86,472,2,9.1,2,0,0,18,4,referral,T-1
10.42,677,3,10.4,1,0,0,48,4,web,T-5
8.46,678,4,19.5,0,0,0,57,1,phone,T-2
11.97,887,3,3.8,3,0,0,70,3,referral,T-4
7.46,490,2,3.0,0,0,0,52,4,phone,T-4
12.21,830,2,1.0,0,0,1,58,5,phone,T-6
15.37,1044,3,14.7,0,1,0,78,4,phone,T-4
7.77,510,2,13.4,1,0,0,44,5,referral,T-2
11.96,911,2,5.5,0,0,0,66,1,web,T-4
6.65,500,3,8.8,1,0,1,26,4,phone,T-1
10.8,787,3,3.3,0,0,0,63,1,phone,T-3
10.36,791,2,12.0,0,0,1,76,5,phone,T-4
17.53,1093,2,7.7,2,1,1,95,2,referral,T-2
9.29,559,3,6.6,3,1,0,51,3,referral,T-4
11.65,748,2,17.9,2,0,1,56,4,web,T-1
12.78,941,2,30.1,0,0,0,84,4,referral,T-4
6.28,453,3,17.3,0,0,0,37,5,phone,T-3
10.7,709,2,16.5,1,0,1,56,4,referral,T-1
8.27,520,4,16.6,3,0,0,31,3,web,T-1
8.43,557,2,9.3,3,1,0,49,1,referral,T-1
12.4,861,3,17.3,1,0,0,63,3,referral,T-6
11.11,865,3,16.7,0,0,1,75,5,web,T-4
19.97,1278,2,13.2,1,0,1,104,3,web,T-4
15.98,1014,2,5.3,0,1,0,85,3,referral,T-3
15.86,995,3,19.0,4,1,1,64,3,web,T-2
10.4,674,3,14.9,1,0,0,61,2,web,T-3
9.87,645,2,11.3,2,1,1,46,4,phone,T-3
9.23,741,3,5.6,0,0,1,68,1,web,T-5
5.69,210,2,15.2,1,0,0,8,2,referral,T-6
15.84,1075,2,11.5,0,0,0,88,1,referral,T-1
9.7,563,2,14.0,1,1,0,37,4,phone,T-7
8.6,477,2,5.8,1,1,0,33,4,referral,T-2
8.33,609,3,5.7,0,0,0,47,2,referral,T-5
15.03,902,3,9.7,3,1,0,67,1,referral,T-4
14.33,982,2,24.0,1,1,0,88,3,referral,T-5
8.22,626,3,7.5,2,0,0,52,4,phone,T-4
11.14,804,3,7.0,2,0,0,77,1,referral,T-3
10.62,695,3,5.2,3,1,0,67,5,web,T-3
7.2,488,3,15.7,0,0,0,49,1,phone,T-7
11.88,745,2,12.9,1,1,0,65,5,web,T-2
8.77,713,4,10.9,1,0,1,53,3,web,T-3
4.64,368,4,16.8,3,0,0,31,2,web,T-2
12.52,949,2,9.7,1,0,0,76,2,web,T-1
7.38,361,2,3.8,0,1,0,22,4,referral,T-5
10.97,757,2,6.6,0,0,0,47,3,referral,T-3
8.23,475,2,8.0,1,1,0,48,1,phone,T-4
8.34,527,2,7.5,1,0,1,47,2,web,T-6
9.14,551,4,10.1,1,1,1,61,4,referral,T-3
11.82,860,3,11.0,0,0,1,61,4,phone,T-2
6.19,429,4,20.7,1,1,1,29,1,referral,T-3
9.13,663,3,1.0,2,0,0,56,2,phone,T-4
15.06,1046,2,28.5,2,0,1,88,5,referral,T-6
7.55,552,3,13.8,1,0,0,42,4,web,T-3
11.81,698,3,8.5,5,1,1,67,1,referral,T-4
12.37,851,2,18.4,2,0,0,74,4,referral,T-4
7.8,576,3,9.7,0,0,1,42,1,referral,T-5
11.65,809,3,7.0,1,0,0,85,5,web,T-7
10.5,559,2,9.0,2,1,0,57,1,web,T-1
13.74,858,4,3.9,1,1,0,85,3,web,T-1
9.58,717,4,1.0,0,1,0,56,1,web,T-5
7.26,498,4,4.9,2,0,0,56,1,phone,T-5
14.33,1014,2,5.4,0,1,0,69,4,phone,T-5
10.51,683,2,15.0,1,1,0,58,1,phone,T-6
9.11,642,2,22.4,0,1,0,49,2,phone,T-7
10.76,500,2,5.2,3,0,0,47,4,referral,T-7
7.77,600,3,27.6,0,0,0,55,1,referral,T-7
10.34,682,3,10.3,2,0,0,45,4,referral,T-5
10.54,741,3,2.5,0,0,1,51,4,referral,T-6
14.91,945,3,11.6,0,0,0,89,3,referral,T-4
8.72,413,2,9.2,1,1,0,33,3,phone,T-4
9.53,626,3,6.3,2,1,1,40,5,referral,T-6
13.54,966,4,3.0,0,1,0,88,5,web,T-3
9.18,743,4,4.1,1,0,0,77,2,web,T-2
11.05,793,2,17.5,1,0,0,68,5,referral,T-5
15.82,1053,2,21.9,2,1,0,91,4,referral,T-6
10.45,777,4,5.9,1,0,1,71,1,phone,T-3
10.5,806,4,1.2,3,0,0,58,4,web,T-2
10.72,694,2,1.6,2,0,0,58,5,web,T-3
15.81,1092,3,15.4,1,0,1,101,2,web,T-7
11.42,934,4,5.7,1,0,0,77,3,phone,T-6
7.37,544,3,17.0,1,0,0,51,4,phone,T-1
11.75,823,2,6.5,1,0,0,64,1,web,T-2
6.39,450,3,11.1,1,0,0,32,5,web,T-7
13.66,942,2,7.4,0,0,1,74,3,phone,T-3
10.24,850,3,6.0,1,0,0,73,5,referral,T-5
9.41,667,3,2.7,0,0,0,66,5,web,T-2
9.62,614,3,16.7,1,0,0,46,2,web,T-7
5.26,307,2,4.9,0,0,0,47,5,phone,T-6
9.67,870,3,7.2,0,0,0,61,5,web,T-1
9.9,676,2,1.1,0,0,0,50,3,web,T-1
10.63,633,2,5.4,2,0,0,54,1,phone,T-4
13.82,860,2,10.4,2,0,0,70,5,phone,T-2
10.36,555,3,32.2,0,0,0,50,2,referral,T-1
9.75,572,3,16.2,2,0,0,60,2,referral,T-2
8.8,548,2,1.1,1,1,1,60,5,web,T-6
6.09,403,2,5.9,0,1,1,25,4,phone,T-3
17.22,1230,4,4.0,3,0,0,96,4,phone,T-1
8.19,657,3,5.1,0,0,1,52,2,referral,T-1
7.98,623,2,10.8,0,0,0,50,5,referral,T-5
11.75,898,3,1.8,0,0,0,85,3,web,T-6
4.67,120,2,5.7,0,1,0,4,1,web,T-6
11.25,693,3,10.1,2,0,1,49,4,phone,T-1
9.22,702,4,16.2,1,1,0,63,3,phone,T-1
5.84,485,2,5.1,1,0,1,34,2,phone,T-3
10.67,800,3,8.0,1,1,0,67,1,web,T-3
5.41,252,2,11.1,2,0,0,34,2,phone,T-1
9.79,698,2,26.2,0,1,0,66,1,phone,T-6
15.25,889,2,20.0,3,1,0,74,5,web,T-5
5.52,204,3,8.8,2,0,0,17,4,web,T-2
7.18,372,2,6.5,2,0,0,42,3,web,T-6
8.02,653,4,19.0,3,0,1,52,5,web,T-1
10.47,681,2,13.1,2,1,0,60,3,web,T-5
8.53,540,2,10.4,0,0,0,42,1,web,T-6
11.31,759,4,3.5,1,0,1,85,3,web,T-3
10.14,730,3,6.1,1,0,0,50,3,phone,T-1
7.61,378,3,4.1,0,1,0,42,4,phone,T-2
10.86,651,2,1.0,4,0,0,60,2,phone,T-4
6.58,390,3,7.8,0,1,0,48,5,referral,T-6
6.05,212,3,33.1,2,0,0,25,2,referral,T-2
6.69,137,2,5.7,2,1,1,9,2,phone,T-4
12.04,892,3,13.9,2,0,1,76,2,web,T-3
10.52,637,2,3.5,6,1,0,55,5,referral,T-5
14.52,1095,3,11.9,0,0,0,84,1,referral,T-1
7.42,341,2,16.3,0,0,1,26,2,referral,T-1
9.2,584,2,5.1,1,0,0,49,2,phone,T-6
11.59,737,2,6.0,3,0,0,60,2,referral,T-5
10.32,630,2,8.0,0,1,0,52,5,phone,T-2
11.07,772,3,11.5,1,0,1,54,2,phone,T-1
10.26,695,2,46.6,0,0,0,70,2,referral,T-6
7.3,528,2,7.3,1,0,1,33,2,referral,T-3
3.48,151,2,5.2,1,0,0,21,1,phone,T-7
6.94,455,2,8.7,1,0,1,46,1,referral,T-2
16.38,1043,2,22.5,2,1,0,83,2,referral,T-6
12.54,834,3,16.3,2,0,0,64,1,phone,T-1
13.61,969,2,3.7,1,1,0,83,1,phone,T-6
9.04,538,4,3.9,2,0,1,36,1,phone,T-6
9.11,626,3,5.4,0,1,0,45,1,web,T-1
7.28,476,2,5.0,1,0,0,43,3,web,T-1
11.07,756,4,3.3,0,1,1,63,5,referral,T-6
9.86,684,3,5.2,0,1,0,61,3,web,T-3
11.04,770,2,2.8,1,0,1,77,5,referral,T-4
15.41,1059,3,17.8,1,0,0,86,5,web,T-4
6.48,488,4,11.0,3,0,1,41,4,referral,T-3
11.0,835,2,3.4,0,1,0,64,5,phone,T-4
7.12,364,2,1.3,1,0,1,24,1,referral,T-5
12.17,916,2,2.0,0,0,1,71,2,web,T-3
8.88,576,3,24.3,2,0,0,56,4,phone,T-4
10.37,657,3,4.8,2,0,0,57,4,phone,T-4
9.17,703,2,31.0,1,0,1,56,3,referral,T-7
14.8,1036,2,14.2,1,0,1,85,4,referral,T-1
10.77,666,2,6.9,2,0,0,57,1,web,T-5
8.32,564,2,12.8,1,0,0,48,3,web,T-1
6.95,413,2,9.7,1,0,1,46,4,web,T-2
10.12,734,2,21.6,0,0,1,74,4,phone,T-4
6.25,485,4,3.2,2,0,1,42,5,referral,T-4
10.29,562,3,21.7,4,0,0,43,5,referral,T-4
11.19,668,2,5.7,2,0,1,57,2,referral,T-1
12.09,821,2,5.4,2,0,0,81,2,web,T-4
8.46,516,3,14.0,1,1,0,55,3,referral,T-3
10.97,821,4,15.7,0,0,0,72,1,web,T-5
14.35,1063,3,2.2,0,0,1,98,5,web,T-5
6.85,345,3,1.6,0,1,0,36,4,phone,T-2
12.89,973,3,3.9,2,0,0,97,3,phone,T-2
16.6,1147,3,10.1,2,0,0,110,5,phone,T-7
9.72,543,3,4.0,3,1,0,41,4,web,T-3
11.2,809,3,31.7,2,0,1,61,4,web,T-5
5.6,371,3,19.4,0,0,0,17,3,phone,T-6
11.12,748,2,9.0,3,0,0,65,1,web,T-3
8.45,602,3,14.8,0,1,0,51,3,referral,T-2
10.15,741,2,14.4,1,0,1,72,1,referral,T-4
6.32,471,3,9.3,0,0,0,33,4,phone,T-5
8.49,492,2,18.8,1,0,0,32,4,web,T-4
7.64,574,3,1.6,2,0,1,46,1,web,T-5
7.84,516,3,7.3,1,0,0,46,2,referral,T-1
7.86,535,2,13.0,0,0,0,51,1,phone,T-3
9.01,626,3,13.4,0,0,0,44,5,phone,T-5
6.86,426,4,4.7,0,0,0,37,2,web,T-7
9.87,638,3,9.3,1,0,0,41,3,referral,T-7
11.51,775,3,11.5,2,0,0,59,4,referral,T-7
5.48,160,3,8.4,2,0,1,5,4,web,T-3
9.61,712,2,4.4,0,0,0,71,4,referral,T-7
8.97,504,2,6.0,4,0,0,49,5,web,T-3
7.23,421,3,15.8,1,0,0,49,5,web,T-6
6.85,371,2,3.0,2,0,0,20,4,phone,T-6
7.19,479,2,9.0,0,0,0,49,3,phone,T-4
7.64,501,4,10.7,0,0,0,42,5,web,T-1
10.51,740,4,19.2,3,1,0,62,3,referral,T-2
7.14,386,2,24.8,1,0,0,32,3,web,T-4
12.57,893,2,10.2,0,1,1,74,1,web,T-1
6.25,484,3,22.3,0,0,0,24,1,referral,T-7
10.25,815,4,15.3,1,0,0,66,3,referral,T-5
13.19,904,3,11.1,1,0,0,68,4,referral,T-1
5.82,396,3,4.0,1,0,0,35,4,referral,T-3
13.62,902,2,24.3,1,1,0,79,4,referral,T-2
17.57,1150,3,9.1,0,1,0,94,2,referral,T-5
7.51,574,2,13.0,1,0,1,45,2,web,T-6
12.09,803,4,17.6,1,0,0,69,1,referral,T-3
9.33,648,3,15.4,1,0,0,45,2,web,T-1
8.54,697,3,5.6,0,0,1,70,5,phone,T-4
10.0,640,3,8.4,3,0,0,58,3,referral,T-5
7.55,572,3,1.0,0,0,0,45,4,phone,T-4
12.31,844,2,7.1,0,0,0,66,3,referral,T-6
13.18,881,2,7.6,2,0,1,80,5,web,T-6
9.78,688,3,6.7,1,1,0,58,3,phone,T-1
13.69,1022,4,15.9,2,0,0,97,3,web,T-4
13.53,930,3,20.1,3,0,1,83,4,referral,T-5
11.71,846,2,13.5,0,0,0,74,2,referral,T-6
8.74,534,3,22.8,1,1,1,49,3,phone,T-5
16.55,1112,4,21.6,3,0,0,103,2,web,T-1
15.01,985,2,13.1,2,0,0,87,2,phone,T-2
4.27,222,3,11.2,0,0,0,26,2,web,T-1
5.42,451,3,3.3,2,0,0,39,5,referral,T-2
